,number,sentences
2493,any,ఒక వారం ఆపి మరలా వారం దినాలు మింగాలి .
2494,pl,ఆడవాళ్లు కడుపుతో ఉంటే బొప్పాయి తినగూడదు అంటారు .
2495,,ఇంగువ నీరు పరగడుపున తాగడం మంచిది NULL .
2496,,ఈగలు రోగాలకు మూలం NULL .
2497,pl,ఈగలు మురికి చేరతాయి .
2498,pl,తిరిగి తిండి వాలతాయి .
2499,pl,ఒకరి రోగాలు ఒకరికి అంటించుతాయి .
2500,sg,ఈగలు వాలని చోటు లేదు .
2501,sg,వీటి మనకు రాని చేటు లేదు .
2502,any,ఇంటిని ఒంటిని మురికి లేకుండా ఉంచుకోవాలి .
2503,sg,ఇది నిజం కాదు .
2504,pl,బాగా గాలి వెలుతురు ఉంటే ఈగలు చేరవు .
2505,sg,ఈగల కలరా పాకుతుంది .
2506,,ఇది చాలా అపాయకరమైన రోగం NULL .
2507,any,మనం ఏమారకుండా ఉండాలి .
2508,any,పందులను ఇంటికి దూరంగా ఉంచాలి .
2509,pl,వీటివలన రోగాలు పాకుతాయి .
2510,any,మిసమిసలాడుతూ ఉంటుంది .
2511,pl,దీని రంగు చూసి మోసపోతాం .
2512,pl,రోగుల కొంటాం .
2513,pl,బంధువులకోసం కొంటాం .
2514,pl,ఐదు రూపాయలు పైన పెడతాం .
2515,sg,ఐతే ఆపిలు పండులో ఏమి ఉంది ?
2516,,తొంభై వంతులు నీరు NULL .
2517,,అరటి పండు ఇంతకంటే ఎంతో బలం NULL .
2518,pl,ధరలో ఎంత తేడా ఉందో చూడండి .
2519,pl,కడుపులో పురుగులు చచ్చిపోతాయి .
2520,pl,బొప్పాయి గింజలు నూరి పాలలో కలిపి తాగండి .
2521,any,ఏలిక పాములు పడి పోతాయి .
2522,pl,బొప్పాయి కాయ లోపలి గుజ్జు రోజూ పూయండి .
2523,sg,దీనికి పెద్ద చోటు అవసరం లేదు .
2524,any,కురుపులు మాడి పోతాయి .
2525,sg,ఒక మునగ చెట్టు ఉంటే చాలు .
2526,sg,కూరకోసం వెతికే పని ఉండదు .
2527,sg,మునగ చేసే మేలు మనలో చాలామందికి తెలియదు .
2528,,మునగ కాయలు రుచికి రుచి NULL .
2529,,ఆదాయానికి ఆదాయం NULL .
2530,,మునగ ఆకు కూర కళ్లకు ఎంతో మంచిది NULL .
2531,any,పూత కూరలో వేసుకోవచ్చు .
2532,,మునగలో చాలా రకాలు NULL .
2533,any,ఇంటి ముందు పెంచుకోవచ్చు .
2534,,వీటిలో బెంగుళూరు రకం చాలా మంచిది NULL .
2535,sg,కాయ లావుగా పొడవుగా ఉంటుంది .
2536,sg,లోపల గుజ్జు బాగా ఉంటుంది .
2537,,ముదిరినా తగ్గని రుచి దీనిది NULL .
2538,sg,పాల దిగుబడి పెరిగితే మన ఆదాయం పెరుగుతుంది .
2539,any,మెలకువగా పాడి చేసుకుంటే దిగుబడి బాగా పెంచుకోవచ్చు .
2540,any,పచ్చి గడ్డి మేత వేసేటప్పుడు కంది వేయాలి .
2541,,ఇది ఆరు నెలలలోపే కాపుకు వచ్చే చెట్టు NULL .
2542,any,పశువును బాగా కడగాలి .
2543,any,పాలిచ్చేటప్పుడు గొడ్డును భయపెట్టగూడదు .
2544,any,అది సంతోషంగా ఉండాలి .
2545,sg,దీని పాల దిగుబడి పెరుగుతుంది .
2546,any,దూడకు మొదట పాలు తాపాలి .
2547,any,తరువాత పాలు పిండాలి .
2548,any,చివరి పాలు దూడకు వదల కూడదు .
2549,any,పాలు రోజూ ఒకే సమయంలో పిండాలి .
2550,any,అప్పుడప్పుడు మానివేయ గూడదు .
2551,any,పశువు జబ్బుతో ఉంటే పాలు పిండగూడదు .
2552,sg,దీనికి కొద్ది చోటు చాలు .
2553,sg,ఇంటిలో ఒక పిలక నాటుకుంటే చాలు .
2554,sg,ఏళ్ల తరబడి ఉంటుంది .
2555,pl,అరటి చెట్టు చుట్టూ పిలకలు పెరుగుతుంటాయి .
2556,any,ఒకటి రెండు పిలకలు ఉంచి మిగిలిన వాటిని తీసి వేయాలి .
2557,any,గెల కోసిన తరువాత చెట్టును నరికి వేయాలి .
2558,sg,వారానికి ఒక పండు తప్పకుండా పండుతుంది .
2559,,వీటిలో పచ్చవి తొందరగా కాపుకు వచ్చే రకం NULL .
2560,sg,ఈ చెట్టు పొట్టిగా ఉంటుంది .
2561,pl,డెబ్భై ఎనభై కాయలు ఉంటాయి .
2562,,అరటికి పచ్చి పేడ మంచి ఎరువు NULL .
2563,,పూతకు వచ్చినప్పుడు యూరియా వాడడం మంచిది NULL .
2564,sg,పెద్ద గెల దిగుతుంది .
2565,sg,కాయ సైజు పెరుగుతుంది .
2566,any,అరటికి తడి ఆరకుండా నీరు ఉండాలి .
2567,sg,మనం వాడిన నీళ్లు చెట్టుకు పారేటట్టు చేసుకుంటే చాలు .
2568,sg,బొప్పాయి పండు తినడానికి రుచిగా ఉంటుంది .
2569,pl,ఏదో చేయాలి అనుకుంటాము .
2570,pl,కానీ అందుబాటులో ఉండే పనులు మనకు కనబడవు .
2571,pl,కూరగాయలు పండించలేం .
2572,sg,మనకు అడ్డం రాదు .
2573,,ఆదాయంలో దీనికి మించింది NULL .
2574,any,పచ్చి బొప్పాయి కాయలతో కూరలు వండుకోవచ్చు .
2575,,కొబ్బరిలో సంకరజాతివి నాటుకొంటే మంచిది NULL .
2576,pl,తొందరగా కాపు పడతాయి .
2577,any,కొబ్బరి చెట్టు బాగా కాయాలంటే నీళ్లు బాగా ఉండాలి .
2578,any,చెట్టు మొదట తడి ఆరకుండా చూచుకోవాలి .
2579,sg,మనం వాడుకునే నీళ్లు చెట్టుకు అందేటట్టు చేసుకుంటే చాలు .
2580,sg,దీనికొక ఉపాయం ఉంది .
2581,any,చెట్టుకూ చెట్టుకూ నడుమ ఒక గుంట తీయాలి .
2582,any,గుంటను ఒక బండతో కప్పివేయాలి .
2583,any,మనం వాడిన నీళ్లు ఈ గుంటలో పడేటట్టు చేయాలి .
2584,any,పచ్చడి చేసుకోవచ్చు .
2585,sg,చెట్టు తొందరగా పెరుగుతుంది .
2586,any,ఎదిగే పాపకు ఏమి కావాలి ?
2587,,పసిపాపలే మన కంటి దీపాలు NULL .
2588,any,వీరిని బాగా పెంచాలి .
2589,any,పెంపకంలో మెలకువగా ఉండాలి .
2590,,వారికి వయసుకు తగిన తిండి అవసరం NULL .
2591,any,దీనిని మనం గమనించాలి .
2592,,పెరగే పాపకు చనుబాలు ఎంతో మంచిది NULL .
2593,,అనగనగా ఒక ఊరు NULL .
2594,,ఆ ఊరి పేరు సిరిపురం NULL .
2595,,సోములు సీతాలు ఆలుమగలు NULL .
2596,,వాళ్లది సిరిపురం NULL .
2597,sg,మొదటిసారి కూతురు పుట్టింది .
2598,any,సోములు సీతాలు మురిసి పోయారు .
2599,sg,సోములుకు మనసులో మనసు లేదు .
2600,sg,సీతాలును సూటిపోటి మాటలు అనేవాడు .
2601,sg,కొట్టేవాడు .
2602,pl,మనం వెంటనే నూనెతో తోముతాము .
2603,sg,కొడుకు లేకపోవడం లోటు అని అందరితో అనేవాడు .
2604,,కొడుకుని కనకపోవడం సీతాలుదే తప్పు NULL .
2605,sg,అని అందరితో అనేవాడు .
2606,sg,కాన్పులతో సీతాలు పాడయింది .
2607,,నాకు ఇక ఎవరూ వద్దు .
2608,,కాన్పు వద్దు .
2609,any,అని సీతాలు ఎంతో అంది
2610,any,అయినా సోములు వినలేదు .
2611,sg,ఎవరో సాధువు ఆ ఊరికి వచ్చాడు .
2612,sg,ఆ సాధువు రోగాలు నయం చేసేవాడు .
2613,,ఇది మంచిది గాదు .
2614,sg,మందులు ఇచ్చేవాడు .
2615,sg,సోములుకు తెలిసింది .
2616,sg,సోములు సీతాలుతో సాధువును కలిశాడు .
2617,sg,కొడుకు పుట్టడానికి మందు అడిగాడు .
2618,sg,సాధువు ఏదో మందు ఇచ్చాడు .
2619,sg,సోములు సాధువు మాటలు నమ్మాడు .
2620,sg,అడిగిన ధనం ఇచ్చాడు .
2621,sg,సీతాలు మందు తినిపించాడు .
2622,pl,సీతాలుకు నెలలు నిండాయి .
2623,sg,కాన్పు అయింది .
2624,,ఈ సారి కూతురే NULL .
2625,any,సోములు కోరిక తీరలేదు .
2626,pl,సీతాలు బాధలు పెరిగాయి .
2627,sg,ఒకసారి సోములుకు బాగాలేదు .
2628,pl,దవాఖానాలో ఉంచారు .
2629,sg,వారం రోజులు దవాఖానాలో ఉన్నాడు .
2630,sg,రోజు డాక్టరు చూసేవాడు .
2631,sg,డాక్టరును కలిసింది .
2632,sg,తన గోడు చెప్పుకుంది .
2633,,రత్తాలుకు అయిదుగురు ఆడపిల్లలే NULL .
2634,sg,అందుకు మొగుడు కొడుతున్నాడు .
2635,sg,మళ్లీ పెళ్లి చేసుకుంటాడట .
2636,any,ఈ సారి మగ పిల్లాడు కలిగేలా చూడండి .
2637,,అని రత్తాలు డాక్టరుతో ఒకటే ఏడుపు NULL .
2638,sg,మందులతో లాభం లేదు .
2639,sg,మీ ఆయన ఎంతమందిని చేసుకున్నా లాభం లేదు .
2640,sg,అని డాక్టరు అన్నాడు .
2641,sg,బెణుకుడు నయం కావడానికి మూడు నాలుగు వారాలు పడుతుంది .
2642,sg,మగపిల్లవాడు పుట్టడానికి మందులు లేవా అని రత్తాలు అడిగింది .
2643,sg,ఇది ఎవరి చేతిలో లేదు .
2644,sg,ఆడవాళ్లకు నెలా నెలా అండం వస్తుంది .
2645,pl,అండంతో వీర్య కణాలు కలుస్తాయి .
2646,sg,అప్పుడు పిండం తయారవుతుంది .
2647,sg,మగ ఆడ అనేది వీర్య కణాలను ఉంటుంది .
2648,pl,వీర్య కణాలు రెండు రకాలు ఉంటాయి .
2649,pl,ఒక రకంతో ఆడపిల్లలే పుడతారు .
2650,pl,ఇంకో రకంతో మగపిల్లలే పుడతారు .
2651,any,బెణికిన భాగం ఐసు నీటితో ఉంచాలి .
2652,pl,మగవాళ్లలో ఒకే రకం కణాలు ఉంటే ఆడపిల్లలే పుడతారు .
2653,,లేకుంటే అందరూ మగపిల్లలే NULL .
2654,,పుడతారు .
2655,,"రెండు రకాల కణాలు ఉంటే ఆడపిల్లలు పుడతారు , మగపిల్లలు పుడతారు ."
2656,sg,అంతేగాని ఇది ఎవరి చేతిలో లేదు .
2657,sg,ఆడవాళ్ల తప్పు అసలే కాదు .
2658,sg,అని డాక్టరు చెప్పింది .
2659,sg,సోములు ఇదంతా విన్నాడు .
2660,sg,తన తప్పు తెలుసుకున్నాడు .
2661,any,కొంచెంసేపు ఉంచి తీయాలి .
2662,any,సీతాలుని ఏమీ అనకూడదు .
2663,sg,అని అనుకున్నాడు .
2664,sg,సీతాలు రాగానే దగ్గరకు తీసుకున్నాడు .
2665,sg,కొడుకు ఐనా కూతురి ఐనా ఒకటే అన్నాడు .
2666,sg,ఆవాలు పంట హెక్టారుకు 15 20 క్వింటాళ్ల దిగుబడి ఇస్తున్నది .
2667,pl,ఉత్తర భారతదేశంలో ఆవనూనెను వంట నూనెగా ఉపయోగిస్తారు .
2668,sg,ఆవనూనె తీసిన మిగిలే పిప్పి పశువులకు దాణాగా ఉపయోగపడుతుంది .
2669,pl,మన రాష్ట్రంలో ఆవాలను పచ్చళ్ల తయారీలో ఎక్కువగా వాడుతారు .
2670,,ఈ పంటకు మొక్క పెరిగే సమయంలో చల్లని వాతావరణం అవసరం NULL .
2671,,పంటకు వచ్చే సమయంలో వెచ్చని వాతావరణం అవసరం NULL .
2672,any,మరునాడు వేడి నీటిలో ఉంచాలి .
2673,any,తీయాలి .
2674,pl,సలీసుగా దొరుకుతాయి .
2675,sg,ఈ విధంగా నాలుగయిదు రోజులు చేయండి బెణుకుడు నయం అవుతుంది .
2676,,దీని కంటికి అపాయం NULL .
2677,any,ఐనా నలుసు రాకపోతే తడి దూదితో తీయాలి .
2678,any,అంతేగాని కంటి లోపలి భాగం చేతితో తాకగూడదు .
2679,pl,సాయంకాలం తలకు రాయండి .
2680,pl,రాసేటపుడు వెంట్రుకలు పాయలు తీయండి .
2681,pl,"పేలకూ , ఈపికి బాగా తగిలేలా రాయండి ."
2682,pl,రాసాక తలకు టవలు బిగించండి .
2683,pl,రే అంతా ఉంచండి .
2684,pl,ఉదయం కుంకుడు కాయలతో తలంటి పోయండి .
2685,any,ఈరిపెన కిరసనాయిలులో ముంచి ఉంచండి .
2686,,ఆ ఊరు పేరు వెంకటాపురం NULL .
2687,sg,వెంకటాపురంలో సోములు ఉండేవాడు .
2688,,సోములు ఏ పనీ చేసేవాడు కాదు .
2689,any,నేను ఎందుకు పని చేయాలి .
2690,any,అది నా జాతకంలోనే రాసి ఉంది .
2691,sg,అని సోములు అనేవాడు .
2692,,సోములు నాయన పోచాలు NULL .
2693,,పోచాలు కొడుకును .
2694,sg,పని చేసి బతుకు అనేవాడు .
2695,any,ధనవంతునివి కావాలి అంటే పని చేయాలి .
2696,sg,సంపాదించాలి అని పోచాలు అనేవాడు .
2697,,నోటికీ చేతికీ అందని జనం మనం NULL .
2698,sg,సోములు వినేవాడు కాడు .
2699,sg,చివరికి పోచాలు సోములుతో విసిగిపోయాడు .
2700,any,సోములుకు పెళ్లి చేయాలి .
2701,sg,పెళ్లితో ఒక దారిలో పడతాడు అని పోచాలు అనుకున్నాడు .
2702,pl,సోములుకు పెళ్లి చేశారు .
2703,sg,సోములుకు అనసూయతో పెళ్లి జరిగింది .
2704,any,సోములును ఒక దారికి తేవాలి .
2705,any,పని చేయించాలి .
2706,sg,అని అనసూయ అనుకుంది .
2707,sg,నాకు కలలో ఒక దేవత కనిపించింది .
2708,pl,మన పెరటిలో లంకెబిందెలు ఉన్నాయట .
2709,sg,దేవత నాతో చెప్పింది .
2710,any,అని అనసూయ సోములుతో అంది .
2711,sg,పలుగు పార తీసుకున్నాడు .
2712,sg,లంకెబిందెల పెరటిలో తవ్వాడు .
2713,sg,పది రోజులు తవ్వాడు .
2714,pl,సలీసుగా దొరికేవి పనికి మాలినవి కావు .
2715,any,అయినా లంకెబిందెలు కనపడలేదు .
2716,pl,కానీ గోతిలో నీళ్లు చేరాయి .
2717,sg,బావి లాగా తయారయింది .
2718,sg,పైసా లేకుండా బావి పని అయింది .
2719,sg,అందుకు అనసూయ సంతోషించింది .
2720,any,పెర అంతా దున్నాలి .
2721,pl,అప్పుడే లంకెబిందెలు దొరుకుతాయి .
2722,any,సోములుకు ఆశ చావలేదు .
2723,sg,పెర అంతా దున్నాడు .
2724,pl,ధరగలవయితే మేలు అయినవీ కావు .
2725,sg,వారం రోజులు దున్నాడు .
2726,sg,అనసూయకు సంతోషం అయింది .
2727,sg,పెర అంతా అరటి పిలకలు నాటింది .
2728,sg,నా కల నిజం అవుతుంది .
2729,sg,దేవత మన మంచికే చెప్పింది .
2730,any,లంకెబిందెలు పెరటిలో దొరకలేదు .
2731,any,ఒక వేళ బావిలోనే ఉంటే అని అనసూయ అనుమానంతో అంది .
2732,any,ఆశ చావలేదు .
2733,sg,ఓపికతో నీళ్లు తోడి పోశాడు .
2734,sg,మెరిసేదంతా బంగారం కాదు .
2735,sg,వారం రోజులు తోడి పోశాడు .
2736,any,అయినా బావిలో బిందెలు కనపడలేదు .
2737,pl,రోజు రోజుకు నీళ్లు ఊరాయి .
2738,sg,అనసూయ పెరటిలో పాదులు తీసింది .
2739,any,అరటి పిలకలకు నీళ్లు అందేలా చేసింది .
2740,pl,కొన్ని రోజులకు అరటి గెలలు వేశాయి .
2741,sg,అనసూయ వాటిని అంగడికి పంపింది .
2742,sg,పైసలు జమ చేసింది .
2743,sg,ఆ పైసలు సోములు చేతిలో ఉంచింది .
2744,pl,కీలు బెణికితే కాలుగాని చేయిగాని బెణికింది అనుకోండి .
2745,sg,షరతులో ఓడిపోయాడు .
2746,sg,అందుకే అతి ఆశ పనికిరాదు .
2747,,రామయ్యది సిరిపురం NULL .
2748,sg,రామయ్యకు కొంత పొలం ఉంది .
2749,sg,కానీ పొలం పనులు చేయడు .
2750,sg,ఏ పనీ చేతకాదు .
2751,,తిరుగుతాడు .
2752,pl,కూచుని తింటే గుట్టలు ఆగుతాయా .
2753,sg,బాకీలకింద ఇల్లు పోయింది .
2754,sg,పొలం పోయింది .
2755,sg,ఈ సంగతి నీకు తెలియదా .
2756,any,చివరికి ఏమీ మిగులలేదు .
2757,pl,బాకీలు ఉండిపోయాయి .
2758,sg,రామయ్య తిరిగి ఇవ్వలేకపోయాడు .
2759,sg,తన దగ్గర ఏమీ లేదన్నాడు .
2760,sg,రామయ్య వెంట ఒక కుక్క ఉండేది .
2761,sg,నా ఇల్లు పోయింది .
2762,sg,రామయ్య ఎలాగు ఇవ్వలేడు .
2763,sg,బంగారయ్య వెంట కుక్క నడిచింది .
2764,pl,ఊరి పొలిమేర దాటారు .
2765,sg,చాలా రోజుల కిందట అక్కడ ఊరు ఉండేది .
2766,any,కొంత కాలానికి అది పాడుపడి పోయింది .
2767,sg,మరుసటి రోజు ఇంకో బిచ్చగాడు వచ్చాడు .
2768,sg,పాడిగట్టా అయ్యింది .
2769,,అక్కడి మట్టి మంచిది NULL .
2770,pl,గోడలు కట్టడానికి తీసుకుపోతారు .
2771,sg,ముక్కుతో వాసన చూసింది .
2772,sg,కాలితో నేలను గీరింది .
2773,any,కుక్క ఒక చోట గీరుతూ ఉంది .
2774,sg,ఆకలిగా ఉంది .
2775,sg,కుండ మూత తీశాడు .
2776,,కుండ నిండా బంగారు కాసులు NULL .
2777,sg,బంగారయ్య మురిసిపోయాడు .
2778,sg,పైపంచె తీశాడు .
2779,sg,కుండలోని కాసులను మూట కట్టాడు .
2780,sg,కుక్క మెడకు తగిలించాడు .
2781,sg,నా బాకీ తీరింది .
2782,sg,రామయ్య కాలిని నాకింది .
2783,sg,రామయ్య చుట్టూ తిరిగింది .
2784,sg,కోపంతో కుక్కను బాదాడు .
2785,sg,కుక్క మెడకు కట్టిన కాగితం కనపడింది .
2786,,కానీ రామయ్యకు చదువురాదు .
2787,any,అందుకే కాగితం తీసి చదువలేదు .
2788,sg,మళ్ళీ కుక్కను కొట్టాడు .
2789,sg,కుక్క పడిపోయింది .
2790,sg,అత్త ఇంటిలోపల లేదు .
2791,sg,దాని కాలు విరిగింది .
2792,,ఆ ఊరి పంతులు గోపి NULL .
2793,sg,అప్పుడే పంతులుగారు ఆ దారిగుండా వచ్చాడు .
2794,sg,పడిపోయిన కుక్కను చూశాడు .
2795,sg,దాని దగ్గర పడివున్న చీటి చూశాడు .
2796,sg,తీసి చదివాడు .
2797,sg,నీ బాకీ తీరిపోయింది అని దానిమీద ఉంది .
2798,sg,ఈ కుక్క మూలంగా నీ బాకీ తీరిపోయింది .
2799,sg,ఏ కారణం లేకుండా కుక్కను కొట్టావు .
2800,sg,పొరుగింటికి పోయింది .
2801,sg,నీవు చీటి చదివితే ఇలా జరిగేది కాదు .
2802,sg,తన పైపంచె తీశాడు .
2803,sg,దాన్ని చింపాడు .
2804,sg,విరిగిన కాలుకు కట్టు కట్టాడు .
2805,sg,కుక్క తోకాడించింది .
2806,sg,రామయ్య పాదాలను నాకింది .
2807,sg,రామయ్య దాని వీపు నిమిరాడు .
2808,sg,ఆ రోజు రాత్రి చీకటి చాలా దట్టంగా ఉంది .
2809,any,బయట అడుగు పెట్టగానే భయంతో కాళ్ళు బిగుసుకొని పోయాయి .
2810,any,ఐతే అదృష్టవశాత్తూ పొరుగింటి దాయి రంభ అప్పుడు అక్కడే నిలబడి ఉంది .
2811,any,అందుకే బిచ్చగాడిని వెళ్లిపో అంది .
2812,sg,దాయి ప్రేమగా మోహన్ తలను తన చేతితో నిమురుతూ చెప్పింది .
2813,sg,బిచ్చగాడు తిరిగి పోతుండగా కాంతం ఎదురయింది .
2814,sg,కాంతంకు అనుమానం వేసింది .
2815,sg,మా కోడలు ఏమయినా వేసిందా .
2816,any,ఏమీ లేదు వెళ్లిపో అంది .
2817,sg,అందుకే పోతున్నాను .
2818,sg,కాంతం ఇంటిలోపలికి పోయింది .
2819,sg,చూసిచూసి బిచ్చగాడు విసిగిపోయాడు .
2820,sg,అమ్మా అంటూ అరిచాడు .
2821,sg,కాంతం బయటకు చూసింది .
2822,pl,రమ్మని పిలిచారు .
2823,sg,ఇంత పడేయండమ్మా నేను పోతాను .
2824,sg,అని బిచ్చగాడు అడిగాడు .
2825,sg,అని కమల అరిచింది .
2826,sg,అవును పిలిచాను .
2827,,ఈ ఇంటికి యజమానిని నేనా నా కోడలా NULL .
2828,any,నేనే అనాలి .
2829,sg,అందుకే అంటున్నాను వెళ్లిపో .
2830,,ఆ ఊరి పేరు పాకాల NULL .
2831,,ఆ జమీందారు పేరు భూపతి NULL .
2832,sg,భూపతికి మంచి పేరు ఉంది .
2833,sg,చేయి చాపితే లేదు అనేవాడు కాదు .
2834,sg,రోజూ ఎందరికో దానం చేసేవాడు .
2835,sg,పాకాలలో ఒక షావుకారు ఉండేవాడు .
2836,,ఆ షావుకారుకు అత్యాశ NULL .
2837,sg,జమీందారు మంచితనం చూశాడు .
2838,sg,రోజూ జమీందారును కలిసేవాడు .
2839,sg,ఏదో ఒకటి అడిగేవాడు .
2840,sg,జమీందారు లేదు అనేవాడు కాదు .
2841,sg,దానం అడిగాడు .
2842,any,నీకు ఏం కావాలి .
2843,sg,రోజూ దానం అడగకు .
2844,,ఎటు చూసినా నా భూములే కదా NULL .
2845,any,అని కమల అంది .
2846,sg,నీకు చాలినంత భూమి తీసుకో .
2847,sg,అని జమీందారు అన్నాడు .
2848,sg,తిండి మూట తీసుకొని బయలుదేరాడు .
2849,sg,పిడికెడు అయినా ఎవరిని అడిగి వేశావు .
2850,sg,కొంచెం దూరం నడిచాడు .
2851,any,అందుకే ఆగలేదు .
2852,sg,బావి నీడకు చేరాడు .
2853,sg,అలసటతో పడుకున్నాడు .
2854,sg,మంచి కునుకు తీశాడు .
2855,sg,లేచేసరికి సాయంకాలం అయింది .
2856,any,నాకు తెలియకుండా ఏ పనీ చేయకూడదు .
2857,sg,గబగబా లేచాడు .
2858,sg,ఇంటికి బయలుదేరాడు .
2859,any,ఇంటికి చేరాలంటే చాలా దూరం నడవాలి .
2860,any,కానీ నడవలేక పోయాడు .
2861,sg,ఇంతలో చీకటి పడింది .
2862,any,చీకటి పడకముందే ఇంటికి చేరలేదు .
2863,sg,షావుకారు ఓడిపోయాడు .
2864,any,ఎడమచేత కాకినికూడా తోలకూడదు .
2865,pl,కాకాసాహేబ్ ఆయన బాధను చూసి అడిగారు .
2866,pl,ఆయన వెంటనే తన పెన్సిల్ ఇవ్వబోయారు .
2867,,""" వద్దండీ వద్దు ."
2868,pl,కాకాసాహేబ్ ఇలా అన్నారు .
2869,pl,"అయితే "" ప్రస్తుతానికి ఇది ఉంచండి ."
2870,any,తరువాత నేను మీ పెన్సిల్ వెదికి పెడతాను .
2871,sg,మీకు ఆ సంగతి తెలియదు .
2872,sg,వాడు దాన్ని నాకు ప్రేమతో ఇచ్చాడు .
2873,,సహించగలనా ?
2874,pl,ఆయన గాంధీజీతో కలిసి ఆ పెన్సిల్ ముక్క వెదకడం మొదలుపెట్టారు .
2875,sg,ఎలాగైతేనేం చివరకు ఆ చిన్న పెన్సిల్ ముక్క దొరకనే దొరికింది .
2876,sg,ఒకసారి బడికి ఇన్స్పెక్టర్ వచ్చాడు .
2877,,ఆయన ఇంగ్లీషు దొర NULL .
2878,sg,మోహన్ నాలుగు మాటలు వ్రాసాడు .
2879,sg,ఐనా మోహన్ అలాగే చలనం లేకుండా కూర్చున్నాడు .
2880,sg,మొహన్ నాలుగే వ్రాసినాడు .
2881,,ఇన్స్పెక్టరుగారు వెళ్ళిపోయినారు .
2882,sg,రాముడే నిన్ను రక్షిస్తాడు .
2883,any,ఐనా దుఃఖం రాలేదు .
2884,sg,ఆ రోజు మోహన్ మనస్సులో భయం పారిపోయింది .
2885,,ఎటువంటి కఠోరమైన శిక్షఇది .
2886,,పాపం పసివాడు .
2887,,చిమ్మచీకటి .
2888,,అది శిలాక్షరమే NULL .
2889,sg,దానికి తిరుగు లేదు .
2890,,బాపూ మనస్సు పూవు మెత్తనైనది .
2891,any,గాంధీజీ అప్పుడే ఆఫ్రికా తిరిగి వచ్చారు .
2892,,ఆయన ఎక్కడకు వెళ్లినా ఆ రాతిముక్కను తనతో తప్పకుండా తీసుకువెళ్ళేవారు .
2893,sg,గాంధీజీ ఒకనాడు ఒక గ్రామం చేరుకున్నాడు .
2894,sg,"ఆయన స్నానానికి ఏర్పాట్లు చేసేటప్పుడు , అక్కడ ఆ రాతిముక్క లేదన్న సంగతిని మనూ గమనించింది ."
2895,any,ఎక్కడా కనపడలేదు .
2896,any,""" బహుశా అది నిన్న మనం మకాం చేసిన వాళ్లింట్లో ఉండి ఉంటుంది ."
2897,,నేను చాలా చాలా బీదవాణ్ణి NULL .
2898,sg,"చేయమంటారు ? "" అని అడిగింది ."
2899,sg,""" నువ్వు స్వయంగా ఆ ఊరు వెళ్లి ఆ ఇంట్లో ఆ రాతిముక్కను వెతికి పట్టకు రా ! నువ్వొకత్తివే వెళ్లు ."
2900,sg,ఒంటరిగా వెళ్లడానికి భయం వేస్తున్నదని చెప్పలేకపోయింది .
2901,any,"చొక్కా డబ్బు ఎక్కడనుంచి తేను ? "" ఆ మాట విని ఆ బాలుడి మనస్సు కరిగి పోయింది ."
2902,any,అప్పటి ఆమె ఒంటరిగా ఎక్కడికీ వెళ్లలేదు .
2903,sg,వాడు అన్నాడు .
2904,any,""" మా అమ్మకి కుట్టు పని బాగా వచ్చు ."
2905,,చూడండి .
2906,,నా బట్టలు అన్నీ ఆవిడే కుట్టుతుంది .
2907,any,నేను మా అమ్మతో చెప్పి ఆమే మీకొక చొక్కా కుట్టించి పెడతాను .
2908,,భలేవాడివే ?
2909,sg,విని పిల్లవాడు ఆలోచనలో పడ్డాడు .
2910,sg,"వీళ్లందరికీ చొక్కాలే లేనప్పుడు , ఆయన ఎలా తొడుగుకుంటాడు ?"
2911,,ఆయన అందరి పెద్దవాడు NULL .
2912,,అందరికీ బాపూ అయినవాడూను .
2913,sg,అప్పుడు ఆ అమాయకపు బాలుడికి అర్ధమైంది .
2914,sg,కాబట్టి ఒక చొక్కాతో ఆయనకు ఏమి అవుతుంది ! అనుకున్నాడు .
2915,pl,మాటల మధ్య బాపూ ఇలా అన్నారు .
2916,sg,ఒక ముసలి స్త్రీ ఇంటిలో ఒక రోజున ఒక పాము వచ్చింది .
2917,pl,"అందరూ కలిసి , ఆ పామును చంపేశారు ."
2918,pl,ఎవరిళ్లకు వాళ్లు తిరిగి వెళ్లిపోయారు .
2919,,అనుకోండి .
2920,sg,ఆకాశంలో ఎగురుతున్న గద్ద ఒకటి ఈ చచ్చిన పాము శవాన్ని చూచింది .
2921,sg,అప్పుడు దాని ముక్కులో ఒక ముత్యాల హారం వ్రేలాడుతోంది .
2922,any,"అది అప్పుడు ఈ ముత్యాల హారాన్ని వదలి పెట్టి , చచ్చిన పాము శవాన్ని నోట కరచుకుని పోయింది ."
2923,sg,ఇంటికప్పు తెల్లని వస్తువేదో మెరుస్తూండడాన్ని ముసిలిది గమనించింది .
2924,sg,వెంటనే వెదురు కర్ర సాయంతో దాన్ని దింపి చేజిక్కించుకొంది .
2925,sg,అనుకోకుండా ముత్యాల హారం దొరికిందే అనే సంతోషంతో ఆమె గంతులు వేయసాగింది .
2926,sg,బాపూ తాను చెబుతున్న కధను ముగించగానే వల్లభభాయి ఇంకో కథ చెప్పాడు .
2927,sg,ఒక వ్యాపారి ఇంట్లో ఒక రోజున ఒక పాము వచ్చింది .
2928,any,అయితే దాన్ని చంపేందుకు ఎవరూ దొరకలేదు .
2929,sg,తానే స్వయంగా చంపే ధైర్యం ఆ వ్యాపారికి లేకపోయింది .
